name,scientific_name,family,origin,description,care,image_url
Tournesol 96,Helianthus species_96,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 97,Taraxacum species_97,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 98,Betula species_98,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 99,Fagus species_99,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 100,Phoenix species_100,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 101,Rosa species_101,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 102,Lavandula species_102,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 103,Quercus species_103,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 104,Acer species_104,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 105,Pinus species_105,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 106,Orchis species_106,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 107,Dryopteris species_107,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 108,Mentha species_108,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 109,Thymus species_109,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 110,Salvia species_110,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 111,Echinocactus species_111,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 112,Aloe species_112,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 113,Ficus species_113,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 114,Bambusa species_114,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 115,Tulipa species_115,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 116,Helianthus species_116,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 117,Taraxacum species_117,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 118,Betula species_118,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 119,Fagus species_119,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 120,Phoenix species_120,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 121,Rosa species_121,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 122,Lavandula species_122,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 123,Quercus species_123,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 124,Acer species_124,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 125,Pinus species_125,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 126,Orchis species_126,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 127,Dryopteris species_127,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 128,Mentha species_128,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 129,Thymus species_129,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 130,Salvia species_130,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 131,Echinocactus species_131,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 132,Aloe species_132,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 133,Ficus species_133,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 134,Bambusa species_134,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 135,Tulipa species_135,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 136,Helianthus species_136,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 137,Taraxacum species_137,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 138,Betula species_138,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 139,Fagus species_139,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 140,Phoenix species_140,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 141,Rosa species_141,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 142,Lavandula species_142,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 143,Quercus species_143,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 144,Acer species_144,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 145,Pinus species_145,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 146,Orchis species_146,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 147,Dryopteris species_147,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 148,Mentha species_148,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 149,Thymus species_149,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 150,Salvia species_150,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 151,Echinocactus species_151,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 152,Aloe species_152,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 153,Ficus species_153,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 154,Bambusa species_154,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 155,Tulipa species_155,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 156,Helianthus species_156,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 157,Taraxacum species_157,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 158,Betula species_158,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 159,Fagus species_159,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 160,Phoenix species_160,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 161,Rosa species_161,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 162,Lavandula species_162,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 163,Quercus species_163,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 164,Acer species_164,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 165,Pinus species_165,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 166,Orchis species_166,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 167,Dryopteris species_167,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 168,Mentha species_168,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 169,Thymus species_169,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 170,Salvia species_170,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 171,Echinocactus species_171,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 172,Aloe species_172,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 173,Ficus species_173,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 174,Bambusa species_174,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 175,Tulipa species_175,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 176,Helianthus species_176,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 177,Taraxacum species_177,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 178,Betula species_178,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 179,Fagus species_179,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 180,Phoenix species_180,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 181,Rosa species_181,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 182,Lavandula species_182,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 183,Quercus species_183,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 184,Acer species_184,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 185,Pinus species_185,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 186,Orchis species_186,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 187,Dryopteris species_187,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 188,Mentha species_188,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 189,Thymus species_189,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 190,Salvia species_190,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 191,Echinocactus species_191,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 192,Aloe species_192,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 193,Ficus species_193,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 194,Bambusa species_194,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 195,Tulipa species_195,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 196,Helianthus species_196,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 197,Taraxacum species_197,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 198,Betula species_198,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 199,Fagus species_199,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 200,Phoenix species_200,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 201,Rosa species_201,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 202,Lavandula species_202,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 203,Quercus species_203,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 204,Acer species_204,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 205,Pinus species_205,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 206,Orchis species_206,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 207,Dryopteris species_207,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 208,Mentha species_208,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 209,Thymus species_209,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 210,Salvia species_210,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 211,Echinocactus species_211,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 212,Aloe species_212,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 213,Ficus species_213,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 214,Bambusa species_214,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 215,Tulipa species_215,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 216,Helianthus species_216,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 217,Taraxacum species_217,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 218,Betula species_218,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 219,Fagus species_219,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 220,Phoenix species_220,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 221,Rosa species_221,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 222,Lavandula species_222,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 223,Quercus species_223,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 224,Acer species_224,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 225,Pinus species_225,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 226,Orchis species_226,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 227,Dryopteris species_227,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 228,Mentha species_228,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 229,Thymus species_229,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 230,Salvia species_230,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 231,Echinocactus species_231,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 232,Aloe species_232,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 233,Ficus species_233,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 234,Bambusa species_234,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 235,Tulipa species_235,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 236,Helianthus species_236,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 237,Taraxacum species_237,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 238,Betula species_238,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 239,Fagus species_239,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 240,Phoenix species_240,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 241,Rosa species_241,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 242,Lavandula species_242,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 243,Quercus species_243,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 244,Acer species_244,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 245,Pinus species_245,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 246,Orchis species_246,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 247,Dryopteris species_247,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 248,Mentha species_248,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 249,Thymus species_249,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 250,Salvia species_250,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 251,Echinocactus species_251,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 252,Aloe species_252,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 253,Ficus species_253,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 254,Bambusa species_254,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 255,Tulipa species_255,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 256,Helianthus species_256,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 257,Taraxacum species_257,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 258,Betula species_258,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 259,Fagus species_259,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 260,Phoenix species_260,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 261,Rosa species_261,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 262,Lavandula species_262,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 263,Quercus species_263,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 264,Acer species_264,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
